name		fast@-40C, 1.98, -40.0	fast@0C, 1.98, .0	typical, 1.80, 25.0	slow, 1.62, 125.0
S		N		N		N		N
# RA1SHD_256x8 words=256 bits=8 mux=16 drive=12 pipeline=No frequency=1.000 ring width=2
geomx     	321.100   	321.100   	321.100   	321.100   
geomy     	154.835   	154.835   	154.835   	154.835   
ring_size 	5.200     	5.200     	5.200     	5.200     
icc       	0.055     	0.056     	0.049     	0.049     
icc_r     	0.053     	0.053     	0.046     	0.046     
icc_w     	0.058     	0.059     	0.051     	0.051     
icc_peak  	153.353   	140.096   	91.004    	50.098    
icc_desel 	0.019     	0.019     	0.016     	0.019     
icc_standby	0.001     	0.002     	0.001     	0.006     
tcyc      	0.756     	0.808     	1.163     	2.060     
ta        	0.742     	0.789     	1.243     	2.130     
tas       	0.186     	0.198     	0.284     	0.548     
tah       	0.041     	0.056     	0.063     	0.138     
tcs       	0.245     	0.260     	0.346     	0.562     
tch       	0.000     	0.000     	0.000     	0.000     
tws       	0.248     	0.251     	0.348     	0.603     
twh       	0.000     	0.000     	0.000     	0.000     
tds       	0.119     	0.121     	0.192     	0.363     
tdh       	0.000     	0.000     	0.000     	0.000     
thz       	0.419     	0.470     	0.597     	0.955     
tlz       	0.375     	0.390     	0.529     	0.850     
tckh      	0.075     	0.081     	0.105     	0.188     
tckl      	0.096     	0.102     	0.157     	0.279     
tckr      	4.000     	4.000     	4.000     	4.000     
load_q    	0.260     	0.271     	0.361     	0.532     
icap_a    	0.054     	0.054     	0.053     	0.051     
icap_d    	0.003     	0.003     	0.003     	0.003     
icap_clk  	0.282     	0.283     	0.273     	0.252     
icap_cen  	0.015     	0.015     	0.015     	0.014     
icap_wen  	0.015     	0.015     	0.015     	0.015     
icap_oen  	0.010     	0.010     	0.010     	0.010     
ocap_q    	0.022     	0.022     	0.022     	0.022     
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.799     	0.790     	0.818     	0.809     
vn_pwr    	0.198     	0.198     	0.180     	0.162     
vn_gnd    	0.198     	0.198     	0.180     	0.162     
